"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.296300875E0,9.382675211E-3,-8.152133245E-3,-2.150079668E-2,2.483497792E-2
1.306282875E0,9.225900167E-3,-1.376886810E-3,-4.530188799E-2,4.625228758E-2
1.316263875E0,9.083184137E-5,-5.407660352E-3,5.143210888E-3,7.463488403E-3
1.326245875E0,7.075093252E-3,1.240464417E-2,9.633872509E-3,1.722624860E-2
1.336226875E0,6.326352149E-3,3.067572671E-3,-5.997079790E-2,6.038153140E-2
1.346208875E0,7.112844338E-3,6.364534353E-3,-2.254861772E-2,2.448550619E-2
1.356190875E0,7.729969414E-3,9.752411102E-3,1.681951582E-2,2.092266862E-2
1.366171875E0,7.808780631E-3,1.070941758E-2,-2.389581621E-2,2.732542245E-2
1.376153875E0,1.506019713E-2,1.660786032E-2,-3.736721635E-2,4.357682205E-2
1.386134875E0,1.306076800E-2,1.967789065E-2,1.891632736E-2,3.025938668E-2
1.396116875E0,1.166707616E-2,1.481847072E-2,3.283737838E-2,3.786820777E-2
1.406097875E0,3.335809977E-3,1.260095073E-2,-2.404316604E-2,2.734932213E-2
1.416079875E0,9.678873229E-3,1.026629456E-3,-1.221775711E-2,1.562076002E-2
1.426061875E0,1.689977571E-2,1.179061800E-2,3.268885911E-2,3.864172100E-2
1.436042875E0,1.189044893E-2,1.361663036E-2,-1.476129591E-2,2.333862154E-2
1.446024875E0,1.059790592E-2,9.091054467E-3,-1.640670240E-2,2.154397282E-2
1.456005875E0,3.071350520E-3,1.227827579E-2,4.631228685E-2,4.801059429E-2
1.465987875E0,4.187582846E-4,5.814466677E-3,3.651586175E-3,6.878768991E-3
1.475968875E0,6.415810551E-3,-3.716024319E-3,-1.550798535E-2,1.718921381E-2
1.485950875E0,1.032389535E-2,-9.020741698E-3,1.622660816E-2,2.124286723E-2
1.495932875E0,4.878201827E-3,-2.141616737E-2,1.158567309E-2,2.483298006E-2
1.505913875E0,4.409045568E-3,-2.091542187E-2,-3.451786816E-2,4.060021893E-2
1.515895875E0,1.341552040E-2,-1.951404984E-2,-2.254218578E-2,3.269441036E-2
1.525876875E0,9.105918043E-3,-1.729232716E-2,3.504236341E-3,1.985502441E-2
1.535858875E0,5.520907900E-3,-1.816505608E-2,-1.386023998E-2,2.350650843E-2
