"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.556642417E0,-9.834548950E-2,1.492396545E-1,9.807305603E0,9.808934065E0
1.566623417E0,-9.535171509E-2,1.375639343E-1,9.815688171E0,9.817115160E0
1.576604417E0,-9.325607300E-2,1.356179810E-1,9.807904358E0,9.809285235E0
1.586585417E0,-1.007405090E-1,1.408570862E-1,9.810598755E0,9.812127053E0
1.596567417E0,-9.789642334E-2,1.386117554E-1,9.810598755E0,9.812066289E0
1.606548417E0,-9.834548950E-2,1.356179810E-1,9.810149689E0,9.811579943E0
1.616529417E0,-8.966354370E-2,1.369651794E-1,9.806557159E0,9.807923447E0
1.626510417E0,-9.909393311E-2,1.381626892E-1,9.810598755E0,9.812071976E0
1.636491417E0,-9.460327148E-2,1.308279419E-1,9.801916809E0,9.803246343E0
1.646473417E0,-9.774673462E-2,1.401086426E-1,9.808353424E0,9.809841066E0
1.656454417E0,-9.056167603E-2,1.296304321E-1,9.815837860E0,9.817111508E0
1.666435417E0,-9.116043091E-2,1.407073975E-1,9.807754669E0,9.809187553E0
1.676416417E0,-9.550140381E-2,1.356179810E-1,9.808353424E0,9.809755840E0
1.686398417E0,-9.819580078E-2,1.387614441E-1,9.804311829E0,9.805785414E0
1.696379417E0,-9.624984741E-2,1.393601990E-1,9.808952179E0,9.810414270E0
1.706360417E0,-9.939331055E-2,1.435514832E-1,9.799521790E0,9.801077153E0
1.716341417E0,-1.007405090E-1,1.414558411E-1,9.806856537E0,9.808394035E0
1.726322417E0,-9.984237671E-2,1.392105103E-1,9.798773346E0,9.800270769E0
1.736304417E0,-9.789642334E-2,1.407073975E-1,9.813891907E0,9.815388767E0
1.746285417E0,-9.550140381E-2,1.440005493E-1,9.797725525E0,9.799249060E0
1.756266417E0,-9.879455566E-2,1.450483704E-1,9.799072723E0,9.800644144E0
1.766247417E0,-1.022373962E-1,1.417552185E-1,9.810748444E0,9.812305134E0
1.776228417E0,-9.759704590E-2,1.371148682E-1,9.798324280E0,9.799769608E0
1.786210417E0,-9.654922485E-2,1.317260742E-1,9.807904358E0,9.809264060E0
1.796191417E0,-9.699829102E-2,1.416055298E-1,9.795180817E0,9.796684543E0
1.806172417E0,-9.430389404E-2,1.404080200E-1,9.806257782E0,9.807716315E0
1.816153417E0,-1.013392639E-1,1.417552185E-1,9.802365875E0,9.803914572E0
1.826135417E0,-9.939331055E-2,1.425036621E-1,9.792037354E0,9.793578603E0
1.836116417E0,-9.699829102E-2,1.438508606E-1,9.795180817E0,9.796717255E0
1.846097417E0,-8.876541138E-2,1.417552185E-1,9.799821167E0,9.801248326E0
1.856078417E0,-9.370513916E-2,1.371148682E-1,9.805060272E0,9.806466646E0
1.866059417E0,-9.550140381E-2,1.338217163E-1,9.804311829E0,9.805690144E0
1.876041417E0,-9.684860229E-2,1.398092651E-1,9.804162140E0,9.805637233E0
1.886022417E0,-1.023870850E-1,1.348695374E-1,9.801018677E0,9.802481319E0
1.896003417E0,-9.714797974E-2,1.392105103E-1,9.803114319E0,9.804584012E0
1.905984250E0,-9.580078125E-2,1.442999268E-1,9.803862762E0,9.805392665E0
1.915966250E0,-9.565109253E-2,1.366658020E-1,9.804461517E0,9.805880497E0
1.925947250E0,-9.355545044E-2,1.413061523E-1,9.799072723E0,9.800538061E0
1.935928250E0,-9.475296021E-2,1.368154907E-1,9.810898132E0,9.812309553E0
1.945909250E0,-9.505233765E-2,1.448986816E-1,9.807155914E0,9.808686849E0
1.955890250E0,-9.819580078E-2,1.398092651E-1,9.808503113E0,9.809990946E0
1.965872250E0,-1.049317932E-1,1.414558411E-1,9.806407471E0,9.807988984E0
1.975853250E0,-1.037342834E-1,1.416055298E-1,9.804611206E0,9.806182429E0
1.985834250E0,-9.370513916E-2,1.438508606E-1,9.792636108E0,9.794140885E0
1.995815250E0,-9.325607300E-2,1.362167358E-1,9.800120544E0,9.801510821E0
2.005797250E0,-9.295669556E-2,1.383123779E-1,9.807305603E0,9.808721346E0
2.015778250E0,-9.624984741E-2,1.425036621E-1,9.805958405E0,9.807466113E0
2.025759250E0,-8.487350464E-2,1.395098877E-1,9.805060272E0,9.806420013E0
2.035740250E0,-9.789642334E-2,1.408570862E-1,9.804611206E0,9.806111632E0
2.045721250E0,-9.999206543E-2,1.378633118E-1,9.801318054E0,9.802797575E0
2.055703250E0,-9.714797974E-2,1.381626892E-1,9.810000000E0,9.811453850E0
2.065684250E0,-9.385482788E-2,1.333726501E-1,9.805958405E0,9.807314476E0
2.075665250E0,-9.535171509E-2,1.390608215E-1,9.793085175E0,9.794536594E0
2.085646250E0,-9.235794067E-2,1.411564636E-1,9.798773346E0,9.800225213E0
2.095627250E0,-9.654922485E-2,1.407073975E-1,9.801916809E0,9.803402137E0
2.105609250E0,-9.654922485E-2,1.438508606E-1,9.810299377E0,9.811829019E0
2.115590250E0,-9.250762939E-2,1.357676697E-1,9.798623657E0,9.800000821E0
2.125571250E0,-9.729766846E-2,1.387614441E-1,9.804760895E0,9.806225460E0
2.135552250E0,-9.535171509E-2,1.296304321E-1,9.804910583E0,9.806231057E0
2.145534250E0,-9.699829102E-2,1.389111328E-1,9.798623657E0,9.800088293E0
2.155515250E0,-1.022373962E-1,1.359173584E-1,9.801018677E0,9.802494229E0
